number,value,params_dense_0,params_dense_1,params_dense_2,params_drop_conv_0,params_drop_conv_1,params_drop_conv_2,params_drop_conv_3,params_drop_dense_0,params_drop_dense_1,params_drop_dense_2,params_filters_0,params_filters_1,params_filters_2,params_filters_3,params_lr,params_num_conv_layers,params_num_dense_layers,params_weight_decay,params_width_0,params_width_1,params_width_2,params_width_3,user_attrs_Denisovan_recall,user_attrs_Human_recall,user_attrs_Neanderthal_recall,user_attrs_raw_val_acc
29,0.5733623807175727,128,64.0,128.0,0.291177261302443,0.39439411779646183,0.16062157547572553,,0.37760265256639475,0.40708200895772156,0.3125586856823361,256,32,128.0,,0.0002381384898915267,3,3,0.0015447882989316998,9,19,15.0,,0.4894,0.4006,0.8301,0.5745
30,0.568941880418456,64,256.0,,0.24385292111532134,0.30881128295580906,0.3808918645104399,,0.33896022608412635,0.3232568134729896,,64,64,128.0,,9.96383397126902e-05,3,2,0.003098202409659793,11,19,11.0,,0.4977,0.3279,0.8812,0.5699
31,0.5713244342690523,128,64.0,128.0,0.2946123422050995,0.3847513038458057,0.15528579413679022,,0.37543199042832265,0.3925545878106786,0.31340213181475296,256,32,128.0,,0.00027338590110288373,3,3,0.0014887862912689146,9,19,15.0,,0.4665,0.4022,0.8453,0.5727
32,0.5354501819985598,128,64.0,128.0,0.3641261154022416,0.43751830817304305,0.14541676360434702,,0.4068805905118818,0.4262342861882779,0.4067928053652433,256,32,128.0,,0.0014014233202849634,3,3,0.0044831466684329396,9,19,15.0,,0.4148,0.2815,0.91,0.5371
33,0.5765721477617477,128,64.0,,0.20128210662418075,0.5045340218342931,0.184511895911541,,0.32065028211138674,0.4087412538740936,,256,32,128.0,,0.00015453751072773392,3,2,0.0015303716171988218,9,19,15.0,,0.5002,0.3882,0.8413,0.5776
34,0.5437469049586885,128,64.0,,0.41029824985809277,0.5187641091605721,0.18101037692227598,,0.3184459486720885,0.3577273775697356,,128,32,128.0,,0.00016210039703740296,3,2,0.0025963966814515054,9,9,15.0,,0.4073,0.4274,0.7965,0.5456
35,0.5537591710504469,128,128.0,,0.44873166554532073,0.5354802203071787,,,0.35470379434776517,0.460604291318642,,256,32,,,4.230402418300217e-05,2,2,0.007250974289087253,19,19,,,0.4786,0.2971,0.8856,0.5548
36,0.5762056693357642,128,64.0,,0.21041438425822398,0.3376435743386525,0.12762582126475064,0.5189092044123859,0.32087484992923,0.3884318452974546,,256,64,64.0,64.0,8.264226256240091e-05,4,2,0.0019366026011405587,11,15,15.0,19.0,0.4927,0.3635,0.8725,0.5773
37,0.5685919995461486,128,64.0,,0.11288486507798443,0.3397910687657677,0.48663735006736225,0.5793306239199274,0.3947491247633631,0.505096165949642,,256,32,128.0,64.0,6.69807753301338e-05,4,2,0.0011366482366355322,5,15,19.0,19.0,0.5015,0.3407,0.8637,0.5695
38,0.5751006830365174,128,,,0.19414896019348532,0.3618240573793505,0.22222376117533235,0.49207592145185614,0.4271776779558208,,,256,256,128.0,64.0,8.483707624899726e-05,4,1,0.002046604572633887,11,15,7.0,19.0,0.4698,0.3651,0.8904,0.5765
39,0.5560087224307834,128,64.0,,0.16984354760208892,0.43223686875564815,0.2811192622061433,0.45927417809233906,0.318783571751494,0.37653504531100124,,256,128,32.0,32.0,2.0419937672007343e-05,4,2,0.0008128390894655047,9,15,5.0,19.0,0.3973,0.4326,0.8381,0.5582
40,0.4875086200421955,256,,,0.20553023711773877,0.5057522145793253,0.13473055524432598,0.5130405198208199,0.30420801286757554,,,32,64,256.0,256.0,3.5802430081489106e-05,4,1,0.0013020546825204345,11,7,19.0,5.0,0.3478,0.7077,0.407,0.4894
41,0.5798876062514048,128,64.0,,0.35836001875434187,0.28109586812132253,0.12700947318878059,,0.3383210225335532,0.3835371244001687,,256,64,64.0,,0.00014591581118944368,3,2,0.001856553763319814,11,15,15.0,,0.479,0.473,0.7877,0.5813
42,0.5751449801864621,128,64.0,,0.1359566004766265,0.3284493967916885,0.12992928705935736,,0.34179607346410884,0.38844992209311785,,256,64,64.0,,0.0004349637640887413,3,2,0.0018159504105014694,11,15,15.0,,0.4931,0.4166,0.8157,0.5763
43,0.5710913468848196,128,64.0,,0.26408074526059794,0.2840736249982458,0.18324209902823485,,0.368365474979864,0.4118291494079113,,256,64,64.0,,4.637784107650896e-05,3,2,0.0023069643284113974,11,15,15.0,,0.439,0.4354,0.8389,0.5729
44,0.5721239478663622,128,64.0,,0.3190419108011498,0.2223525191424849,0.12805577490580156,,0.3205758272601017,0.4361821966345528,,256,64,64.0,,7.50238196279528e-05,3,2,0.0006271907282411979,11,15,5.0,,0.4965,0.4038,0.8161,0.5731
45,0.5664320971597477,128,64.0,,0.34460432630979515,0.3698915444762409,,,0.33937658009367366,0.4557347161319741,,256,64,,,0.00020031182763452718,2,2,0.0003165963224068109,7,15,,,0.4394,0.5286,0.7313,0.5681
46,0.579210159612401,128,,,0.17973782956707898,0.3267158084093715,0.10071139255931251,,0.31774322739977384,,,256,128,64.0,,0.00013903023760122095,3,1,0.0012827719007625917,15,11,15.0,,0.4681,0.4658,0.8037,0.5807
47,0.5816425061240255,128,,,0.18281326734302775,0.29276983072250995,0.1342698776169164,,0.35677016454523924,,,256,128,64.0,,0.00012195151797538036,3,1,0.0013563110015086574,15,11,15.0,,0.4706,0.489,0.7853,0.5831
48,0.5707636700976974,128,,,0.157810343742909,0.27393046425309947,0.33131760363843055,,0.3570923926720564,,,128,128,64.0,,0.0001296017004860946,3,1,0.0009370522321054974,15,11,15.0,,0.4444,0.5082,0.7597,0.5725
49,0.5585907799867696,128,,,0.18952060958961806,0.2858457690109455,0.2729479234015623,,0.38922097981365694,,,256,128,64.0,,0.0009048628178892502,3,1,0.0012645104454679344,15,11,15.0,,0.4411,0.4054,0.8293,0.5602
